ID,Label,Code
1,ST_length,"ST_Length(x)"
2,DN_burstiness,"DN_Burstiness(x)"
3,DN_max,"DN_MinMax(x_z,'max')"
4,DN_min,"DN_MinMax(x_z,'min')"
5,DN_mean,"DN_Mean(x,'norm')"
6,DN_hmean,"DN_Mean(x,'harm')"
7,DN_rms,"DN_Mean(x,'rms')"
8,DN_median,"DN_Mean(x,'median')"
9,DN_midhinge,"DN_Mean(x,'midhinge')"
10,DN_HistogramMode_5,"DN_HistogramMode(x_z,5,true,false)"
11,DN_HistogramMode_10,"DN_HistogramMode(x_z,10,true,false)"
12,DN_HistogramMode_21,"DN_HistogramMode(x_z,21,true,false)"
13,DN_HistogramMode_abs_5,"DN_HistogramMode(abs(x_z),5,true,false)"
14,DN_HistogramMode_abs_10,"DN_HistogramMode(abs(x_z),10,true,false)"
15,DN_HistogramMode_abs_21,"DN_HistogramMode(abs(x_z),21,true,false)"
16,DN_HistogramAsymmetry_11,"DN_HistogramAsymmetry(x_z,11,false)"
17,DN_TrimmedMean_1,"DN_TrimmedMean(x,1)"
18,DN_TrimmedMean_5,"DN_TrimmedMean(x,5)"
19,DN_TrimmedMean_10,"DN_TrimmedMean(x,10)"
20,DN_TrimmedMean_25,"DN_TrimmedMean(x,25)"
21,DN_TrimmedMean_50,"DN_TrimmedMean(x,50)"
22,DN_Spread_std,"DN_Spread(x,'std')"
23,DN_Spread_mad,"DN_Spread(x,'mad')"
24,DN_Spread_iqr,"DN_Spread(x,'iqr')"
25,DN_Spread_mead,"DN_Spread(x,'mead')"
26,DN_Moments_3,"DN_Moments(x_z,3)"
27,DN_Moments_4,"DN_Moments(x_z,4)"
28,DN_Moments_5,"DN_Moments(x_z,5)"
29,DN_Moments_6,"DN_Moments(x_z,6)"
30,DN_Moments_7,"DN_Moments(x_z,7)"
31,DN_Moments_8,"DN_Moments(x_z,8)"
32,DN_Moments_9,"DN_Moments(x_z,9)"
33,DN_Moments_10,"DN_Moments(x_z,10)"
34,DN_Moments_11,"DN_Moments(x_z,11)"
35,DN_Moments_raw_3,"DN_Moments(x,3)"
36,DN_Moments_raw_4,"DN_Moments(x,4)"
37,DN_Moments_raw_5,"DN_Moments(x,5)"
38,DN_Moments_raw_6,"DN_Moments(x,6)"
39,DN_Moments_raw_7,"DN_Moments(x,7)"
40,DN_Moments_raw_8,"DN_Moments(x,8)"
41,DN_Moments_raw_9,"DN_Moments(x,9)"
42,DN_Moments_raw_10,"DN_Moments(x,10)"
43,DN_Moments_raw_11,"DN_Moments(x,11)"
44,DN_CustomSkewness_pearson,"DN_CustomSkewness(x,'pearson')"
45,DN_CustomSkewness_bowley,"DN_CustomSkewness(x_z,'bowley')"
46,DN_Withinp_05,"DN_Withinp(x_z,0.5,'mean')"
47,DN_Withinp_10,"DN_Withinp(x_z,1,'mean')"
48,DN_Withinp_15,"DN_Withinp(x_z,1.5,'mean')"
49,DN_Withinp_20,"DN_Withinp(x_z,2,'mean')"
50,DN_Withinp_25,"DN_Withinp(x_z,2.5,'mean')"
51,DN_Withinp_30,"DN_Withinp(x_z,3,'mean')"
52,DN_Withinp_median_05,"DN_Withinp(x_z,0.5,'median')"
53,DN_Withinp_median_10,"DN_Withinp(x_z,1,'median')"
54,DN_Withinp_median_15,"DN_Withinp(x_z,1.5,'median')"
55,DN_Withinp_median_20,"DN_Withinp(x_z,2,'median')"
56,DN_Withinp_median_25,"DN_Withinp(x_z,2.5,'median')"
57,DN_Withinp_median_30,"DN_Withinp(x_z,3,'median')"
58,DN_pleft_005,"DN_pleft(x_z,0.05)"
59,DN_pleft_01,"DN_pleft(x_z,0.1)"
60,DN_pleft_02,"DN_pleft(x_z,0.2)"
61,DN_pleft_03,"DN_pleft(x_z,0.3)"
62,DN_pleft_04,"DN_pleft(x_z,0.4)"
63,DN_pleft_05,"DN_pleft(x_z,0.5)"
64,DN_Quantile_1,"DN_Quantile(x_z,0.01)"
65,DN_Quantile_2,"DN_Quantile(x_z,0.02)"
66,DN_Quantile_3,"DN_Quantile(x_z,0.03)"
67,DN_Quantile_4,"DN_Quantile(x_z,0.04)"
68,DN_Quantile_5,"DN_Quantile(x_z,0.05)"
69,DN_Quantile_10,"DN_Quantile(x_z,0.10)"
70,DN_Quantile_20,"DN_Quantile(x_z,0.20)"
71,DN_Quantile_30,"DN_Quantile(x_z,0.30)"
72,DN_Quantile_40,"DN_Quantile(x_z,0.40)"
73,DN_Quantile_50,"DN_Quantile(x_z,0.50)"
74,DN_Quantile_60,"DN_Quantile(x_z,0.60)"
75,DN_Quantile_70,"DN_Quantile(x_z,0.70)"
76,DN_Quantile_80,"DN_Quantile(x_z,0.80)"
77,DN_Quantile_90,"DN_Quantile(x_z,0.90)"
78,DN_Quantile_91,"DN_Quantile(x_z,0.91)"
79,DN_Quantile_92,"DN_Quantile(x_z,0.92)"
80,DN_Quantile_93,"DN_Quantile(x_z,0.93)"
81,DN_Quantile_94,"DN_Quantile(x_z,0.94)"
82,DN_Quantile_95,"DN_Quantile(x_z,0.95)"
83,DN_Quantile_96,"DN_Quantile(x_z,0.96)"
84,DN_Quantile_97,"DN_Quantile(x_z,0.97)"
85,DN_Quantile_98,"DN_Quantile(x_z,0.98)"
86,DN_Quantile_99,"DN_Quantile(x_z,0.99)"
87,DN_cv_1,"DN_cv(x,1)"
88,DN_cv_2,"DN_cv(x,2)"
89,DN_HighLowMu,"DN_HighLowMu(x)"
90,DN_Unique,"DN_Unique(x)"
91,ST_SimpleStats_zcross,"ST_SimpleStats(x_z,'zcross')"
92,ST_SimpleStats_pmcross,"ST_SimpleStats(x_z,'pmcross')"
93,DN_ProportionValues_zeros,"DN_ProportionValues(x,'zeros')"
94,DN_ProportionValues_geq0,"DN_ProportionValues(x,'geq0')"
95,DN_ProportionValues_positive,"DN_ProportionValues(x,'positive')"
96,AC_1,"CO_AutoCorr(x_z,1,'Fourier')"
97,AC_2,"CO_AutoCorr(x_z,2,'Fourier')"
98,AC_3,"CO_AutoCorr(x_z,3,'Fourier')"
99,AC_4,"CO_AutoCorr(x_z,4,'Fourier')"
100,AC_5,"CO_AutoCorr(x_z,5,'Fourier')"
101,AC_6,"CO_AutoCorr(x_z,6,'Fourier')"
102,AC_7,"CO_AutoCorr(x_z,7,'Fourier')"
103,AC_8,"CO_AutoCorr(x_z,8,'Fourier')"
104,AC_9,"CO_AutoCorr(x_z,9,'Fourier')"
105,AC_10,"CO_AutoCorr(x_z,10,'Fourier')"
106,AC_11,"CO_AutoCorr(x_z,11,'Fourier')"
107,AC_12,"CO_AutoCorr(x_z,12,'Fourier')"
108,AC_13,"CO_AutoCorr(x_z,13,'Fourier')"
109,AC_14,"CO_AutoCorr(x_z,14,'Fourier')"
110,AC_15,"CO_AutoCorr(x_z,15,'Fourier')"
111,AC_16,"CO_AutoCorr(x_z,16,'Fourier')"
112,AC_17,"CO_AutoCorr(x_z,17,'Fourier')"
113,AC_18,"CO_AutoCorr(x_z,18,'Fourier')"
114,AC_19,"CO_AutoCorr(x_z,19,'Fourier')"
115,AC_20,"CO_AutoCorr(x_z,20,'Fourier')"
116,AC_21,"CO_AutoCorr(x_z,21,'Fourier')"
117,AC_22,"CO_AutoCorr(x_z,22,'Fourier')"
118,AC_23,"CO_AutoCorr(x_z,23,'Fourier')"
119,AC_24,"CO_AutoCorr(x_z,24,'Fourier')"
120,AC_25,"CO_AutoCorr(x_z,25,'Fourier')"
121,AC_26,"CO_AutoCorr(x_z,26,'Fourier')"
122,AC_27,"CO_AutoCorr(x_z,27,'Fourier')"
123,AC_28,"CO_AutoCorr(x_z,28,'Fourier')"
124,AC_29,"CO_AutoCorr(x_z,29,'Fourier')"
125,AC_30,"CO_AutoCorr(x_z,30,'Fourier')"
126,AC_31,"CO_AutoCorr(x_z,31,'Fourier')"
127,AC_32,"CO_AutoCorr(x_z,32,'Fourier')"
128,AC_33,"CO_AutoCorr(x_z,33,'Fourier')"
129,AC_34,"CO_AutoCorr(x_z,34,'Fourier')"
130,AC_35,"CO_AutoCorr(x_z,35,'Fourier')"
131,AC_36,"CO_AutoCorr(x_z,36,'Fourier')"
132,AC_37,"CO_AutoCorr(x_z,37,'Fourier')"
133,AC_38,"CO_AutoCorr(x_z,38,'Fourier')"
134,AC_39,"CO_AutoCorr(x_z,39,'Fourier')"
135,AC_40,"CO_AutoCorr(x_z,40,'Fourier')"
136,CO_PartialAutoCorr_20_ols,"CO_PartialAutoCorr(x_z,20,'ols')"
137,CO_FirstCrossing_acf_0,"CO_FirstCrossing(x_z,'ac',0,'both')"
